"","site_proj_comm","treatment","site_code","project_name","data_type","species_matched","avg_distance_all","avg_distance_NN","sd_distance_all","sd_distance_NN","n_obs","data_set"
"SR_Nitrogen_P.Erodium cicutarium.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Erodium cicutarium",0.416617457199907,0.278696681744434,0.0187241920783574,0.0227412056303245,11,"full_all"
"SR_Nitrogen_A.Hordeum murinum.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Hordeum murinum",0.277726318127672,0.109805739427518,0.0202116842872552,0.0147439856090139,17,"full_all"
"SR_Nitrogen_P.Hordeum murinum.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Hordeum murinum",0.279166465558851,0.100794097963082,0.0325695877496637,0.0130465602515171,7,"full_all"
"SR_Nitrogen_A.Hypochaeris glabra.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Hypochaeris glabra",0.316595361004369,0.128303747476737,NA,NA,1,"full_all"
"SR_Nitrogen_A.Lactuca serriola.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Lactuca serriola",0.380500760046026,0.291068351981982,0.0165810419506655,0.038319413097696,13,"full_all"
"SR_Nitrogen_P.Lactuca serriola.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Lactuca serriola",0.386682857531237,0.258752641607578,0.0190325431250054,0.0478574664130177,16,"full_all"
"SR_Nitrogen_A.Lolium multiflorum.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Lolium multiflorum",0.358859551446694,0.243222867696608,0.00672810590561429,0.0228526724667668,2,"full_all"
"SR_Nitrogen_P.Lolium multiflorum.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Lolium multiflorum",0.352020098304709,0.223768247966024,0.0108854952157944,0.00749986357222258,5,"full_all"
"SR_Nitrogen_A.Malva parviflora.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Malva parviflora",0.421969826075944,0.314243000923844,NA,NA,1,"full_all"
"SR_Nitrogen_P.Malva parviflora.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Malva parviflora",0.394601774705165,0.308665865176014,NA,NA,1,"full_all"
"SR_Nitrogen_A.Medicago polymorpha.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Medicago polymorpha",0.399075644811526,0.258099148886015,0.0231362368386443,0.0190187722448711,3,"full_all"
"SR_Nitrogen_P.Medicago polymorpha.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Medicago polymorpha",0.385599264253223,0.240115040737831,0.0220758274287408,0.00483702148845501,3,"full_all"
"SR_Nitrogen_A.Nassella pulchra.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Nassella pulchra",0.390331075924606,0.16579358675876,0.0341730093087724,0.0909201027108637,7,"full_all"
"SR_Nitrogen_P.Nassella pulchra.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Nassella pulchra",0.401736593264363,0.144897900128155,0.0213074546179169,0.0623245580671941,19,"full_all"
"SR_Nitrogen_P.Phalaris paradoxa.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Phalaris paradoxa",0.276738809293537,0.130706813664759,NA,NA,1,"full_all"
"SR_Nitrogen_A.Pseudosclerochloa rupestris.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Pseudosclerochloa rupestris",0.355091289158297,0.143844891867739,0.00559959802165416,0.000748238316617361,4,"full_all"
"SR_Nitrogen_P.Pseudosclerochloa rupestris.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Pseudosclerochloa rupestris",0.368399143409481,0.146288353101303,0.00941629297583695,0.00239435172909314,10,"full_all"
"SR_Nitrogen_A.Vulpia myuros.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Vulpia myuros",0.313027307336112,0.167455000643595,0.0261821382356429,0.0143713159843337,16,"full_all"
"SR_Nitrogen_P.Vulpia myuros.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Vulpia myuros",0.31095915305735,0.171711445013512,0.0265169334013848,0.0392838329368681,20,"full_all"
"SR_Water_A.Amsinckia menziesii.0_WATER_1","SR_Water_A","0_WATER_1","SR","Water","biomass","Amsinckia menziesii",0.41244316463637,0.245762633128355,0.0244663509436148,0.0461911359059574,7,"full_all"
"SR_Water_A.Anagallis arvensis.0_WATER_1","SR_Water_A","0_WATER_1","SR","Water","biomass","Anagallis arvensis",0.31421288631669,0.122774056106397,NA,NA,1,"full_all"
"SR_Water_A.Avena barbata.0_WATER_1","SR_Water_A","0_WATER_1","SR","Water","biomass","Avena barbata",0.285277605409274,0.101996413519811,NA,NA,1,"full_all"
"SR_Water_A.Brassica nigra.0_WATER_1","SR_Water_A","0_WATER_1","SR","Water","biomass","Brassica nigra",0.38493426180021,0.181629586958454,0.002338837225407,7.12267111408279e-06,2,"full_all"
"SR_Water_A.Bromus carinatus.0_WATER_1","SR_Water_A","0_WATER_1","SR","Water","biomass","Bromus carinatus",0.36428457268457,0.113089634343488,0.0286599497913843,0.0178861409123919,9,"full_all"
"SR_Water_A.Bromus diandrus.0_WATER_1","SR_Water_A","0_WATER_1","SR","Water","biomass","Bromus diandrus",0.321244353157008,0.193732418999321,0.017851921614481,0.0355933587866833,7,"full_all"
"SR_Water_A.Bromus hordeaceus.0_WATER_1","SR_Water_A","0_WATER_1","SR","Water","biomass","Bromus hordeaceus",0.274139397668655,0.123206626470781,0.0119686257853395,0.0331295647255968,10,"full_all"
"SR_Water_A.Bromus madritensis.0_WATER_1","SR_Water_A","0_WATER_1","SR","Water","biomass","Bromus madritensis",0.334436779346086,0.182267815529315,0.0160270125127585,0.0149268035468132,8,"full_all"
"SR_Water_A.Calandrinia ciliata.0_WATER_1","SR_Water_A","0_WATER_1","SR","Water","biomass","Calandrinia ciliata",0.480425356931197,0.34804214685675,NA,NA,1,"full_all"
"SR_Water_A.Elymus glaucus.0_WATER_1","SR_Water_A","0_WATER_1","SR","Water","biomass","Elymus glaucus",0.358129360872128,0.109715818422302,0.031207111042448,0.0149615371033378,9,"full_all"
"SR_Water_A.Erigeron canadensis.0_WATER_1","SR_Water_A","0_WATER_1","SR","Water","biomass","Erigeron canadensis",0.310427519667956,0.186109912855084,NA,NA,1,"full_all"
"SR_Water_A.Erodium cicutarium.0_WATER_1","SR_Water_A","0_WATER_1","SR","Water","biomass","Erodium cicutarium",0.421018183316581,0.278788178456031,0.0205498295705741,0.017227612982304,9,"full_all"
"SR_Water_A.Hordeum murinum.0_WATER_1","SR_Water_A","0_WATER_1","SR","Water","biomass","Hordeum murinum",0.295055863988536,0.106180122998597,0.00994518154392215,0.0106083281186506,7,"full_all"
"SR_Water_A.Lactuca serriola.0_WATER_1","SR_Water_A","0_WATER_1","SR","Water","biomass","Lactuca serriola",0.38998997668025,0.276823366531009,0.0283544467029924,0.0501215112528523,7,"full_all"
"SR_Water_A.Lolium multiflorum.0_WATER_1","SR_Water_A","0_WATER_1","SR","Water","biomass","Lolium multiflorum",0.351997675336731,0.222497932918011,0.0071348255258299,0.00531905599614429,2,"full_all"
"SR_Water_A.Malva parviflora.0_WATER_1","SR_Water_A","0_WATER_1","SR","Water","biomass","Malva parviflora",0.387251208853472,0.308580000227658,0.0209484430696865,0.00135335316061543,2,"full_all"
"SR_Water_A.Medicago polymorpha.0_WATER_1","SR_Water_A","0_WATER_1","SR","Water","biomass","Medicago polymorpha",0.423965338597154,0.268926726745235,NA,NA,1,"full_all"
"SR_Water_A.Nassella pulchra.0_WATER_1","SR_Water_A","0_WATER_1","SR","Water","biomass","Nassella pulchra",0.395280523609301,0.111186196524708,0.0283754159057923,0.0145497373107226,7,"full_all"
"SR_Water_A.Phalaris paradoxa.0_WATER_1","SR_Water_A","0_WATER_1","SR","Water","biomass","Phalaris paradoxa",0.274789540859125,0.122478629520514,NA,NA,1,"full_all"
"SR_Water_A.Vulpia myuros.0_WATER_1","SR_Water_A","0_WATER_1","SR","Water","biomass","Vulpia myuros",0.320383520285376,0.177627506851098,0.0134353229664672,0.00649468576502645,8,"full_all"
"NANT_wet_Broad_BRC_S.Amaranthus cannabinus.0N1P","NANT_wet_Broad_BRC_S","0N1P","NANT","wet","cover","Amaranthus cannabinus",0.4572343915583,0.298293660905603,0.0166683564499622,0.00834181122463542,2,"full_all"
"NANT_wet_Nant_TNC_M.Amaranthus cannabinus.0N1P","NANT_wet_Nant_TNC_M","0N1P","NANT","wet","cover","Amaranthus cannabinus",0.425793018797731,0.28329645649357,0.00927729386556525,0.00603950798209037,6,"full_all"
"NANT_wet_Nant-Mrsh_TNC_S.Apios americana.0N1P","NANT_wet_Nant-Mrsh_TNC_S","0N1P","NANT","wet","cover","Apios americana",0.412859790737444,0.278815462694861,NA,NA,1,"full_all"
"NANT_wet_Marshy_BSA_M.Bidens aristosa.0N1P","NANT_wet_Marshy_BSA_M","0N1P","NANT","wet","cover","Bidens aristosa",0.482110729427908,0.332672223547689,0,0,2,"full_all"
"NANT_wet_Nant_TNC_M.Bidens aristosa.0N1P","NANT_wet_Nant_TNC_M","0N1P","NANT","wet","cover","Bidens aristosa",0.426290629844039,0.192068870468617,0.042336126789479,0.123629171434421,3,"full_all"
"NANT_wet_Nant-Mrsh_TNC_S.Bidens aristosa.0N1P","NANT_wet_Nant-Mrsh_TNC_S","0N1P","NANT","wet","cover","Bidens aristosa",0.424928922111151,0.209039315251446,0.0283351093145981,0.146717810732098,3,"full_all"
"NANT_wet_Marshy_BSA_M.Bidens discoidea.0N1P","NANT_wet_Marshy_BSA_M","0N1P","NANT","wet","cover","Bidens discoidea",0.496717216916806,0.214638191003979,NA,NA,1,"full_all"
"NANT_wet_Broad_BRC_M.Bidens laevis.0N1P","NANT_wet_Broad_BRC_M","0N1P","NANT","wet","cover","Bidens laevis",0.439343353440229,0.307915972496166,0.0302693112880076,0.0723141090585091,3,"full_all"
"NANT_wet_Broad_BRC_S.Bidens laevis.0N1P","NANT_wet_Broad_BRC_S","0N1P","NANT","wet","cover","Bidens laevis",0.399512902116079,0.300379796486336,0.0288417491147651,0.0173209401211576,4,"full_all"
"NANT_wet_Marshy_BSA_M.Bidens laevis.0N1P","NANT_wet_Marshy_BSA_M","0N1P","NANT","wet","cover","Bidens laevis",0.465943030882803,0.342693036336098,0.0686304124063397,0.126561743514003,3,"full_all"
"NANT_wet_Nant_TNC_M.Bidens laevis.0N1P","NANT_wet_Nant_TNC_M","0N1P","NANT","wet","cover","Bidens laevis",0.353194561049021,0.196139773426143,0.0161809131286784,0.0873216899761152,4,"full_all"
"NANT_wet_Nant-Mrsh_TNC_S.Bidens laevis.0N1P","NANT_wet_Nant-Mrsh_TNC_S","0N1P","NANT","wet","cover","Bidens laevis",0.348857249839504,0.213921019531894,0.0250643382808591,0.087339303898163,5,"full_all"
"NANT_wet_Nant-Mrsh_TNC_S.Boehmeria cylindrica.0N1P","NANT_wet_Nant-Mrsh_TNC_S","0N1P","NANT","wet","cover","Boehmeria cylindrica",0.261930852674851,0.163460138534669,NA,NA,1,"full_all"
"NANT_wet_Marshy_BSA_M.Bolboschoenus fluviatilis.0N1P","NANT_wet_Marshy_BSA_M","0N1P","NANT","wet","cover","Bolboschoenus fluviatilis",0.439505176463047,0.265477541423778,NA,NA,1,"full_all"
"NANT_wet_Nant_TNC_M.Bolboschoenus fluviatilis.0N1P","NANT_wet_Nant_TNC_M","0N1P","NANT","wet","cover","Bolboschoenus fluviatilis",0.357168831548424,0.196392676337077,0.0100991383658957,0.0697450602494289,3,"full_all"
"NANT_wet_Nant-Mrsh_TNC_S.Carex tribuloides.0N1P","NANT_wet_Nant-Mrsh_TNC_S","0N1P","NANT","wet","cover","Carex tribuloides",0.26210287812399,0.0790676324842458,NA,NA,1,"full_all"
"NANT_wet_Nant-Mrsh_TNC_S.Chasmanthium latifolium.0N1P","NANT_wet_Nant-Mrsh_TNC_S","0N1P","NANT","wet","cover","Chasmanthium latifolium",0.242961542475727,0.0442045148195726,NA,NA,1,"full_all"
"NANT_wet_Nant-Mrsh_TNC_S.Cicuta maculata.0N1P","NANT_wet_Nant-Mrsh_TNC_S","0N1P","NANT","wet","cover","Cicuta maculata",0.251468212736278,0.0994201842153139,0.0208935789724805,0.0150340722808146,7,"full_all"
"NANT_wet_Nant_TNC_M.Cinna arundinacea.0N1P","NANT_wet_Nant_TNC_M","0N1P","NANT","wet","cover","Cinna arundinacea",0.308738943801678,0.0950309437447209,0.0338169866473169,0.0252463811634427,3,"full_all"
"NANT_wet_Nant-Mrsh_TNC_S.Cinna arundinacea.0N1P","NANT_wet_Nant-Mrsh_TNC_S","0N1P","NANT","wet","cover","Cinna arundinacea",0.270589254939992,0.0958715770078327,NA,NA,1,"full_all"
"NANT_wet_Broad_BRC_M.Cuscuta gronovii.0N1P","NANT_wet_Broad_BRC_M","0N1P","NANT","wet","cover","Cuscuta gronovii",0.573044555816277,0.477372540706972,0.0625557017999231,0.110980123127083,3,"full_all"
"NANT_wet_Broad_BRC_S.Cuscuta gronovii.0N1P","NANT_wet_Broad_BRC_S","0N1P","NANT","wet","cover","Cuscuta gronovii",0.386169631368259,0.297149611830798,NA,NA,1,"full_all"
"NANT_wet_Marshy_BSA_M.Cuscuta gronovii.0N1P","NANT_wet_Marshy_BSA_M","0N1P","NANT","wet","cover","Cuscuta gronovii",0.482345074445945,0.368354835185654,0.0537110765439312,0.0946919299176686,5,"full_all"
"NANT_wet_Nant_TNC_M.Cuscuta gronovii.0N1P","NANT_wet_Nant_TNC_M","0N1P","NANT","wet","cover","Cuscuta gronovii",0.38124819807254,0.290856858738735,0.0216150673377253,0.00866740446726857,3,"full_all"
"NANT_wet_Nant-Mrsh_TNC_S.Cuscuta gronovii.0N1P","NANT_wet_Nant-Mrsh_TNC_S","0N1P","NANT","wet","cover","Cuscuta gronovii",0.384869521153424,0.231826313245973,0.0230319451465602,0.0817710130687233,5,"full_all"
"NANT_wet_Nant_TNC_M.Decodon verticillatus.0N1P","NANT_wet_Nant_TNC_M","0N1P","NANT","wet","cover","Decodon verticillatus",0.316283287299142,0.0728250599858701,0.0251325812472411,0.00880257396002919,2,"full_all"
"NANT_wet_Nant-Mrsh_TNC_S.Dioscorea villosa.0N1P","NANT_wet_Nant-Mrsh_TNC_S","0N1P","NANT","wet","cover","Dioscorea villosa",0.320249085198074,0.208011439055324,0.0175625802574003,0.0165481577618748,2,"full_all"
"NANT_wet_Nant_TNC_M.Eleocharis obtusa.0N1P","NANT_wet_Nant_TNC_M","0N1P","NANT","wet","cover","Eleocharis obtusa",0.350673010281151,0.0968888977356481,0.00516648589652708,0.00313501218611119,3,"full_all"
"NANT_wet_Nant-Mrsh_TNC_S.Elymus virginicus.0N1P","NANT_wet_Nant-Mrsh_TNC_S","0N1P","NANT","wet","cover","Elymus virginicus",0.277504988635506,0.0615895440253095,0.022552146662588,0.0113975505183862,6,"full_all"
"NANT_wet_Nant_TNC_M.Hibiscus moscheutos.0N1P","NANT_wet_Nant_TNC_M","0N1P","NANT","wet","cover","Hibiscus moscheutos",0.34894800169325,0.111062404848602,0.0268499618490848,0.0417957369466885,3,"full_all"
"NANT_wet_Broad_BRC_M.Impatiens capensis.0N1P","NANT_wet_Broad_BRC_M","0N1P","NANT","wet","cover","Impatiens capensis",0.509160603069223,0.413963970857638,0.0597243060341606,0.0550508748684562,7,"full_all"
"NANT_wet_Broad_BRC_S.Impatiens capensis.0N1P","NANT_wet_Broad_BRC_S","0N1P","NANT","wet","cover","Impatiens capensis",0.462348836216569,0.362268452700248,0.0409583331125827,0.0953979245024643,4,"full_all"
"NANT_wet_Marshy_BSA_M.Impatiens capensis.0N1P","NANT_wet_Marshy_BSA_M","0N1P","NANT","wet","cover","Impatiens capensis",0.462872922783382,0.344953419150916,0.069796237128477,0.0466878229948053,3,"full_all"
"NANT_wet_Nant_TNC_M.Impatiens capensis.0N1P","NANT_wet_Nant_TNC_M","0N1P","NANT","wet","cover","Impatiens capensis",0.402289379358681,0.306297725739557,0.0119378893620116,0.0161099301890115,9,"full_all"
"NANT_wet_Nant-Mrsh_TNC_S.Impatiens capensis.0N1P","NANT_wet_Nant-Mrsh_TNC_S","0N1P","NANT","wet","cover","Impatiens capensis",0.374310063449102,0.245071422534279,0.0255019625709831,0.0146908944069631,3,"full_all"
"NANT_wet_Nant-Mrsh_TNC_S.Iris versicolor.0N1P","NANT_wet_Nant-Mrsh_TNC_S","0N1P","NANT","wet","cover","Iris versicolor",0.295897685176493,0.167101511957086,0.00694903307164406,0.0119656752634558,2,"full_all"
"NANT_wet_Broad_BRC_S.Leersia oryzoides.0N1P","NANT_wet_Broad_BRC_S","0N1P","NANT","wet","cover","Leersia oryzoides",0.377195382994855,0.298607165079956,0.0287503604284867,0.0344872139730809,2,"full_all"
"NANT_wet_Marshy_BSA_M.Leersia oryzoides.0N1P","NANT_wet_Marshy_BSA_M","0N1P","NANT","wet","cover","Leersia oryzoides",0.386519006237441,0.295261013671486,0.010066624480505,0.0250161490557144,3,"full_all"
"NANT_wet_Nant_TNC_M.Leersia oryzoides.0N1P","NANT_wet_Nant_TNC_M","0N1P","NANT","wet","cover","Leersia oryzoides",0.314299061091939,0.0997844282269748,0.0208927176041321,0.00956098868640634,8,"full_all"
"NANT_wet_Nant-Mrsh_TNC_S.Leersia oryzoides.0N1P","NANT_wet_Nant-Mrsh_TNC_S","0N1P","NANT","wet","cover","Leersia oryzoides",0.263985817077863,0.0682248500562586,0.0152216774895881,0.0133541418496417,6,"full_all"
"NANT_wet_Nant-Mrsh_TNC_S.Lobelia cardinalis.0N1P","NANT_wet_Nant-Mrsh_TNC_S","0N1P","NANT","wet","cover","Lobelia cardinalis",0.35719908918561,0.241177455609447,0.0180391554894355,0.0237561459319516,3,"full_all"
"NANT_wet_Broad_BRC_M.Lycopus americanus.0N1P","NANT_wet_Broad_BRC_M","0N1P","NANT","wet","cover","Lycopus americanus",0.3248279956985,0.21496169371399,NA,NA,1,"full_all"
"NANT_wet_Broad_BRC_M.Mikania scandens.0N1P","NANT_wet_Broad_BRC_M","0N1P","NANT","wet","cover","Mikania scandens",0.465164292658573,0.427988519476587,0.0538171074666974,0.086213391347999,4,"full_all"
"NANT_wet_Nant_TNC_M.Mikania scandens.0N1P","NANT_wet_Nant_TNC_M","0N1P","NANT","wet","cover","Mikania scandens",0.316436934541482,0.101462312412408,0.0309462768203722,0.0102427725962412,9,"full_all"
"NANT_wet_Nant-Mrsh_TNC_S.Mikania scandens.0N1P","NANT_wet_Nant-Mrsh_TNC_S","0N1P","NANT","wet","cover","Mikania scandens",0.280024000717453,0.107800319179116,0.0136156279034239,0.016305306581841,3,"full_all"
"NANT_wet_Marshy_BSA_M.Nuphar lutea.0N1P","NANT_wet_Marshy_BSA_M","0N1P","NANT","wet","cover","Nuphar lutea",0.511297108978482,0.333281803027671,NA,NA,1,"full_all"
"NANT_wet_Nant-Mrsh_TNC_S.Oxypolis rigidior.0N1P","NANT_wet_Nant-Mrsh_TNC_S","0N1P","NANT","wet","cover","Oxypolis rigidior",0.268547255621473,0.155361788619602,0.0019966146864424,0.00645106461085704,2,"full_all"
"NANT_wet_Nant-Mrsh_TNC_S.Parthenocissus quinquefolia.0N1P","NANT_wet_Nant-Mrsh_TNC_S","0N1P","NANT","wet","cover","Parthenocissus quinquefolia",0.21873941114494,0.0752939814375542,NA,NA,1,"full_all"
"NANT_wet_Broad_BRC_M.Peltandra virginica.0N1P","NANT_wet_Broad_BRC_M","0N1P","NANT","wet","cover","Peltandra virginica",0.423974665173905,0.304420684720233,0.0386581622899496,0.0542306110194704,8,"full_all"
"NANT_wet_Broad_BRC_S.Peltandra virginica.0N1P","NANT_wet_Broad_BRC_S","0N1P","NANT","wet","cover","Peltandra virginica",0.372433888338242,0.203704496868959,0.0110311597847631,0.0224312075618078,3,"full_all"
"NANT_wet_Marshy_BSA_M.Peltandra virginica.0N1P","NANT_wet_Marshy_BSA_M","0N1P","NANT","wet","cover","Peltandra virginica",0.408349231534408,0.327868404312778,0.0116983591398591,0.027172099870056,4,"full_all"
"NANT_wet_Nant_TNC_M.Peltandra virginica.0N1P","NANT_wet_Nant_TNC_M","0N1P","NANT","wet","cover","Peltandra virginica",0.339822014146158,0.170843955354444,0.0117697975890146,0.0568229241966918,9,"full_all"
"NANT_wet_Nant-Mrsh_TNC_S.Peltandra virginica.0N1P","NANT_wet_Nant-Mrsh_TNC_S","0N1P","NANT","wet","cover","Peltandra virginica",0.331540037023114,0.181013060874087,0.0499522726093934,0.0676386615781977,7,"full_all"
"NANT_wet_Broad_BRC_M.Persicaria punctata.0N1P","NANT_wet_Broad_BRC_M","0N1P","NANT","wet","cover","Persicaria punctata",0.411199077101014,0.28089885664904,0.0570434638796933,0.0461822653765513,7,"full_all"
"NANT_wet_Broad_BRC_S.Persicaria punctata.0N1P","NANT_wet_Broad_BRC_S","0N1P","NANT","wet","cover","Persicaria punctata",0.383522226427449,0.232104615287926,0.0554134927630538,0.059680032562262,4,"full_all"
"NANT_wet_Nant_TNC_M.Persicaria punctata.0N1P","NANT_wet_Nant_TNC_M","0N1P","NANT","wet","cover","Persicaria punctata",0.321835727862096,0.15940129673096,0.0217901842382997,0.00862268436262352,9,"full_all"
"NANT_wet_Nant-Mrsh_TNC_S.Persicaria punctata.0N1P","NANT_wet_Nant-Mrsh_TNC_S","0N1P","NANT","wet","cover","Persicaria punctata",0.354867491052971,0.186786666559817,0.0396400911305912,0.0321996898246451,6,"full_all"
"NANT_wet_Marshy_BSA_M.Persicaria sagittata.0N1P","NANT_wet_Marshy_BSA_M","0N1P","NANT","wet","cover","Persicaria sagittata",0.404702504344175,0.326628383656294,0.0202402442411253,0.021687992841916,4,"full_all"
